RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
395057,11,"San Francisco, CA",Msa,CA,3570,3391,4168,5074,5960,6441,6701,6704,6920,7250,7105,6144,5067,4688,5282,6167,7070,7577,7729,7444,7348,7247,6733,5426,4210,3933,4399,4618,5034,5542,6353,6568,6655,6823,6486,5536,4466,4153,4686,5305,5772,6047
394532,12,"Detroit, MI",Msa,MI,13430,12275,12419,13153,14669,16113,17499,18689,19249,19419,18675,17318,15896,14751,14728,15165,16505,17980,19413,20434,20846,20777,19724,18008,16270,15135,14690,13392,13750,14288,15736,15619,15103,14608,13445,11929,10312,9078,8837,8972,9920,10922
395025,13,"Riverside, CA",Msa,CA,15625,15686,16596,17425,18273,18979,19721,20145,20322,20429,20272,19571,18966,18484,18954,19242,19654,19791,19910,19996,19797,19584,18863,17718,16706,16156,16087,15363,15006,14524,14197,13402,12771,12602,12055,11100,10085,9449,9580,9676,10180,10633
394976,14,"Phoenix, AZ",Msa,AZ,24551,24734,26237,27209,27599,27040,25864,24902,24200,24425,24597,24316,24640,25347,27315,28291,28767,28053,26593,25011,23631,23254,22723,21745,21003,20847,21872,22054,22225,21501,20724,19771,19434,19954,19823,18654,16998,15915,15859,16040,16321,16512
395078,15,"Seattle, WA",Msa,WA,6716,5897,6400,7284,8999,10465,11757,12415,12892,13037,12358,10650,9116,8014,8493,9215,11031,12380,13268,13093,12522,11743,10318,8275,6645,6017,6655,7246,8081,8525,9224,9653,9818,9687,8602,7100,5783,5274,5954,6788,7853,8495
394865,16,"Minneapolis-St Paul, MN",Msa,MN,9732,8965,9705,11015,12730,14194,15259,15754,15735,15438,14273,12378,10558,9526,9857,10992,12888,14840,16077,16533,16388,16095,14997,13046,11116,10248,10964,11761,12829,13259,13825,13837,13688,13454,12226,10329,8483,7568,7850,8564,9638,10618
395056,17,"San Diego, CA",Msa,CA,5193,5134,5701,6360,7047,7510,7956,8282,8471,8504,8316,7796,7332,7002,7222,7447,7834,8097,8306,8311,8076,7703,7029,6185,5537,5303,5533,5522,5687,5733,5934,5874,5751,5683,5365,4854,4321,4085,4281,4477,4795,5037
395121,18,"St. Louis, MO",Msa,MO,12094,11505,11914,12652,13559,14191,14672,14931,14791,14609,14003,13032,11823,10943,11168,11850,12828,13406,13687,13764,13727,13756,13401,12468,11362,10655,10889,10827,10926,10640,10758,10576,10457,10395,9952,9054,8169,7239,7024,6917,7423,7779
395148,19,"Tampa, FL",Msa,FL,16450,16623,17631,18355,18963,19071,18819,18599,18293,18335,18342,18129,18301,18628,19452,19386,19282,19264,19453,19471,19105,18949,18609,17902,17486,17411,17904,17481,17368,16655,16071,14894,14001,13423,12683,11828,11144,10447,10059,9395,9285,9355
394358,20,"Baltimore, MD",Msa,MD,12246,11610,12094,13251,14447,14764,14459,14059,13911,13876,13484,12639,11595,10853,11290,12351,13709,14576,14892,14725,14461,14240,13685,12499,11255,10563,10719,10572,10664,10413,10425,10006,9704,9512,8993,8056,7140,6494,6573,6952,7748,8272
394530,21,"Denver, CO",Msa,CO,8991,8408,9310,10559,12153,13588,14441,14862,14847,14778,14101,12509,11161,10443,11178,12326,14198,15953,17031,17372,17105,16546,14939,12547,10603,9723,10506,10948,12493,13282,14155,13659,12817,12009,10393,8463,6680,5449,5201,5212,5888,6574
