Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
10034,42672.0,36.4,42522.0,22776.0,11044.0
10035,34760.0,34.7,26764.0,19691.0,13257.0
10036,24127.0,37.5,70625.0,72435.0,2906.0
10037,18041.0,37.1,37000.0,25736.0,4970.0
10038,20997.0,33.6,73988.0,59309.0,3920.0
10039,25952.0,32.9,33132.0,20185.0,7800.0
10040,45278.0,37.6,46944.0,24468.0,8684.0
10044,12050.0,39.4,95259.0,46709.0,1182.0
10065,31761.0,38.8,110163.0,113444.0,1842.0
10069,5523.0,35.8,172926.0,118923.0,305.0
10075,24377.0,42.6,104583.0,113485.0,2172.0
10103,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10110,1.0,-666666666.0,-666666666.0,,0.0
10111,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10112,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10115,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10119,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10128,62447.0,38.7,100649.0,91988.0,4817.0
10152,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10153,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10154,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10162,1252.0,36.2,193238.0,107132.0,0.0
10165,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10167,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10168,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10169,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10170,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10171,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10172,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10173,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10174,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10177,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10199,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10271,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10278,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10279,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10280,8817.0,37.1,143636.0,90980.0,485.0
10282,5903.0,33.0,245556.0,138381.0,140.0
10301,39367.0,35.3,60278.0,28054.0,7671.0
10302,18043.0,33.3,54150.0,23165.0,4593.0
10303,24348.0,32.8,52826.0,22593.0,5726.0
10304,41864.0,35.0,53762.0,27811.0,8354.0
10305,41471.0,40.1,70763.0,30178.0,4559.0
10306,54888.0,42.0,79152.0,35187.0,3643.0
10307,15006.0,39.0,86688.0,34894.0,932.0
10308,29805.0,42.3,85814.0,36756.0,2169.0
10309,33382.0,38.6,87536.0,37508.0,3160.0
10310,24719.0,33.6,64724.0,27220.0,5417.0
10311,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
10312,61105.0,41.2,87946.0,36127.0,4363.0
10314,87524.0,41.5,78962.0,33822.0,6818.0
10451,47818.0,31.6,27197.0,15672.0,16458.0
10452,75252.0,30.4,24965.0,12942.0,29924.0
10453,79002.0,31.0,24741.0,12459.0,32209.0
10454,38751.0,28.6,19536.0,11429.0,18699.0
10455,39951.0,30.0,22996.0,12442.0,16044.0
10456,91737.0,29.7,22962.0,12157.0,37837.0
10457,71015.0,29.4,24883.0,12768.0,28149.0
10458,76276.0,29.4,24829.0,14046.0,28765.0
10459,48269.0,28.7,23400.0,12616.0,19612.0
10460,58676.0,30.0,23289.0,12795.0,23971.0
10461,52435.0,37.1,52230.0,27484.0,8211.0
10462,76114.0,35.0,45234.0,22296.0,15957.0
10463,71238.0,38.0,55354.0,31572.0,12323.0
10464,4532.0,48.4,75696.0,43196.0,184.0
10465,46360.0,39.3,68831.0,30235.0,6213.0
10466,69657.0,36.1,42587.0,19944.0,14846.0
10467,99251.0,33.1,35852.0,18103.0,27541.0
10468,72683.0,31.9,33585.0,15710.0,23516.0
10469,72241.0,37.0,57680.0,23044.0,9165.0
10470,14880.0,36.0,58330.0,28926.0,1801.0
10471,21935.0,43.7,73684.0,41945.0,1787.0
10472,69659.0,31.3,30541.0,14970.0,24007.0
10473,59948.0,36.5,36729.0,19760.0,16166.0
10474,12223.0,29.9,26460.0,11609.0,4657.0
10475,44582.0,46.2,45886.0,26215.0,4437.0
10501,1073.0,47.6,141500.0,56348.0,5.0
10502,5396.0,45.4,142679.0,60372.0,89.0
10503,172.0,58.3,139911.0,74056.0,48.0
10504,7885.0,41.2,200000.0,111145.0,137.0
10505,785.0,37.8,178333.0,54114.0,0.0
10506,5303.0,43.6,185372.0,91593.0,208.0
10507,7039.0,36.1,70684.0,40345.0,526.0
10509,19605.0,41.3,90959.0,40580.0,1269.0
10510,10391.0,43.7,153613.0,71502.0,386.0
10511,2349.0,44.5,93977.0,53695.0,104.0
10512,25467.0,43.3,92067.0,40638.0,1304.0
10514,12915.0,40.4,207733.0,97394.0,374.0
10516,5327.0,44.4,84966.0,47158.0,234.0
10517,756.0,31.9,91481.0,31412.0,0.0
10518,1505.0,48.5,214688.0,78451.0,101.0
10519,181.0,49.7,126089.0,55339.0,1.0
10520,13107.0,46.8,98552.0,55771.0,442.0
10522,11001.0,41.8,113062.0,52123.0,402.0
10523,8563.0,34.9,87042.0,33489.0,644.0
10524,4402.0,49.9,118409.0,54978.0,345.0
10526,1714.0,40.9,109821.0,74459.0,38.0
10527,1156.0,43.9,196300.0,58124.0,20.0
10528,12720.0,38.9,106912.0,59314.0,846.0
10530,12431.0,48.4,97682.0,58366.0,562.0
10532,4906.0,43.9,109815.0,44832.0,192.0
10533,7484.0,46.1,139359.0,88057.0,208.0
10535,573.0,43.6,56860.0,34150.0,0.0
10536,10725.0,44.9,155658.0,73530.0,473.0
10537,1952.0,40.4,80380.0,34319.0,126.0
10538,16803.0,41.4,158258.0,86145.0,633.0
10541,26355.0,40.9,108082.0,40733.0,732.0
10543,20250.0,42.1,88942.0,52689.0,1659.0
10545,135.0,77.9,-666666666.0,11273.0,69.0
10546,1149.0,45.1,119091.0,57699.0,11.0
10547,6913.0,43.5,84925.0,37236.0,474.0
10548,3214.0,49.3,83167.0,41949.0,156.0
10549,16165.0,39.7,88508.0,53287.0,1644.0
10550,37421.0,33.3,40492.0,20408.0,7356.0
10552,20339.0,42.3,68530.0,39590.0,2098.0
10553,10032.0,40.5,64295.0,26185.0,1398.0
10560,4742.0,50.7,131500.0,68963.0,161.0
10562,31453.0,38.4,75848.0,34478.0,4406.0
10566,23875.0,38.5,51961.0,29723.0,3596.0
10567,20197.0,43.7,108446.0,47796.0,833.0
10570,12592.0,41.0,125488.0,59594.0,288.0
10573,38656.0,37.7,70532.0,36953.0,4692.0
10576,4842.0,49.4,170278.0,98357.0,169.0
10577,6269.0,20.3,209350.0,51798.0,219.0
10578,589.0,50.5,115114.0,41808.0,0.0
10579,9264.0,44.8,107066.0,45333.0,415.0
10580,17322.0,41.6,158281.0,98501.0,552.0
10583,39510.0,43.0,169583.0,91173.0,1161.0
10588,2518.0,47.5,72958.0,35192.0,8.0
10589,9376.0,53.1,103721.0,61496.0,248.0
10590,7026.0,44.4,129632.0,66401.0,139.0
10591,23037.0,40.1,78227.0,46758.0,2033.0
10594,5201.0,38.3,122583.0,42753.0,201.0
10595,8577.0,38.0,107522.0,36343.0,724.0
10596,1629.0,38.0,54773.0,27106.0,141.0
10597,1128.0,46.2,250001.0,99561.0,10.0
10598,29699.0,44.0,108093.0,46919.0,394.0
10601,11524.0,37.5,70477.0,54892.0,1825.0
10603,17924.0,37.7,92419.0,43851.0,1376.0
10604,11397.0,40.9,81814.0,49235.0,1077.0
10605,17671.0,42.2,107782.0,58899.0,1470.0
10606,17293.0,36.3,74733.0,35266.0,1437.0
10607,6727.0,41.5,140478.0,55828.0,434.0
10701,59628.0,35.2,45893.0,24114.0,14524.0
10703,20894.0,38.3,59653.0,25961.0,2507.0
10704,31198.0,41.0,69309.0,33551.0,2866.0
10705,39817.0,33.6,46848.0,23359.0,8680.0
10706,8734.0,46.8,128056.0,65563.0,375.0
10707,10525.0,38.6,89821.0,49580.0,656.0
10708,22497.0,43.6,96490.0,65777.0,990.0
10709,9347.0,45.0,89712.0,52748.0,211.0
10710,27388.0,43.5,81082.0,38087.0,1763.0
10801,41265.0,35.4,58280.0,27799.0,5726.0
10803,12523.0,39.8,140977.0,73829.0,322.0
10804,14850.0,44.1,162674.0,79991.0,451.0
